,Variables,A,B,C,D,Outcome,CJ,judge_idx
0,Priors,0.4,0.2,0.9,0.5,,,
1,1,1.0,0.0,1.0,1.0,2.0,A&C,"(1, 3)"
2,2,0.0,0.0,1.0,1.0,0.0,A,"(1,)"
3,3,0.0,1.0,1.0,0.0,2.0,B&C,"(2, 3)"
4,4,0.0,0.0,1.0,1.0,0.0,A&B,"(1, 2)"
5,5,0.0,0.0,1.0,0.0,0.0,A&B,"(1, 2)"
6,6,0.0,1.0,0.0,1.0,0.0,C,"(3,)"
7,7,0.0,1.0,1.0,0.0,2.0,B&C,"(2, 3)"
8,8,1.0,0.0,1.0,0.0,2.0,A&C,"(1, 3)"
9,9,0.0,0.0,1.0,0.0,0.0,A&B,"(1, 2)"
10,10,0.0,1.0,1.0,1.0,2.0,B&C,"(2, 3)"
11,11,0.0,0.0,1.0,1.0,0.0,A&B,"(1, 2)"
12,12,0.0,0.0,1.0,1.0,0.0,A&B,"(1, 2)"
13,13,1.0,0.0,1.0,0.0,2.0,A&C,"(1, 3)"
14,14,0.0,0.0,1.0,1.0,0.0,A&B,"(1, 2)"
15,15,0.0,0.0,0.0,1.0,0.0,C,"(3,)"
16,16,1.0,1.0,1.0,1.0,2.0,C,"(3,)"
17,17,0.0,0.0,1.0,1.0,0.0,A&B,"(1, 2)"
18,18,1.0,0.0,1.0,1.0,2.0,A&C,"(1, 3)"
19,19,1.0,0.0,1.0,0.0,2.0,A&C,"(1, 3)"
20,20,0.0,0.0,1.0,0.0,0.0,A&B,"(1, 2)"
